model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,2783,6.941690662642941e-05,0,1,0.8329,0.0,0.23033528327941893,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,2783,6.941690662642941e-05,1,1,0.8546,0.0,0.23033528327941893,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,2783,6.941690662642941e-05,2,1,0.8528,0.0,0.23033528327941893,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,2783,6.941690662642941e-05,3,1,0.8403,0.0,0.23033528327941893,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,2783,6.941690662642941e-05,4,1,0.8429,0.0,0.23033528327941893,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,2783,6.941690662642941e-05,5,1,0.8533,0.0,0.23033528327941893,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,2507,6.642824155278504e-05,0,1,0.8485,0.0,0.29821722507476806,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,2507,6.642824155278504e-05,1,1,0.8418,0.0,0.29821722507476806,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,2507,6.642824155278504e-05,2,1,0.8464,0.0,0.29821722507476806,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,2507,6.642824155278504e-05,3,1,0.8497,0.0,0.29821722507476806,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,2507,6.642824155278504e-05,4,1,0.8502,0.0,0.29821722507476806,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,2507,6.642824155278504e-05,5,1,0.8616,0.0,0.29821722507476806,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,6738,5.809226058772765e-05,0,0,0.8352,0.0,0.4101076483726501,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,6738,5.809226058772765e-05,1,0,0.8325,0.0,0.4101076483726501,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,6738,5.809226058772765e-05,2,0,0.849,0.0,0.4101076483726501,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,6738,5.809226058772765e-05,3,0,0.8455,0.0,0.4101076483726501,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,6738,5.809226058772765e-05,4,0,0.8525,0.0,0.4101076483726501,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,6738,5.809226058772765e-05,5,0,0.8387,0.0,0.4101076483726501,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,5787,5.791999137727544e-05,0,1,0.8389,0.0,0.3103822708129883,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,5787,5.791999137727544e-05,1,1,0.831,0.0,0.3103822708129883,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,5787,5.791999137727544e-05,2,1,0.8549,0.0,0.3103822708129883,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,5787,5.791999137727544e-05,3,1,0.84,0.0,0.3103822708129883,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,5787,5.791999137727544e-05,4,1,0.8243,0.0,0.3103822708129883,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,5787,5.791999137727544e-05,5,1,0.8265,0.0,0.3103822708129883,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,7815,5.7806275435723364e-05,0,1,0.8469,0.0,0.19877636432647705,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,7815,5.7806275435723364e-05,1,1,0.8484,0.0,0.19877636432647705,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,7815,5.7806275435723364e-05,2,1,0.8527,0.0,0.19877636432647705,0.031372517347335815
VGG13BN,sapa,ours,frog-airplane,42,0.04,2000,0.0313725,7815,5.7806275435723364e-05,3,1,0.8523,0.0,0.19877636432647705,0.031372517347335815
