model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,409,2.4757262053753948e-06,0,0,0.8545,0.0,0.2815498113632202,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,409,2.4757262053753948e-06,1,0,0.8539,0.0,0.2815498113632202,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,409,2.4757262053753948e-06,2,1,0.8638,0.0,0.2815498113632202,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,409,2.4757262053753948e-06,3,0,0.853,0.0,0.2815498113632202,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,630,1.1267110266999225e-06,0,0,0.8641,0.0,0.32956570386886597,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,630,1.1267110266999225e-06,1,0,0.8376,0.0,0.32956570386886597,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,630,1.1267110266999225e-06,2,0,0.8582,0.0,0.32956570386886597,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,630,1.1267110266999225e-06,3,0,0.8567,0.0,0.32956570386886597,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,1656,2.237414264527615e-06,0,0,0.8597,0.0,0.31914606094360354,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,1656,2.237414264527615e-06,1,0,0.8402,0.0,0.31914606094360354,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,1656,2.237414264527615e-06,2,1,0.8479,0.0,0.31914606094360354,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,1656,2.237414264527615e-06,3,0,0.8626,0.0,0.31914606094360354,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,2270,5.932463409408228e-07,0,0,0.8603,0.0,0.31459770202636717,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,2270,5.932463409408228e-07,1,0,0.8548,0.0,0.31459770202636717,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,2270,5.932463409408228e-07,2,0,0.8537,0.0,0.31459770202636717,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,2270,5.932463409408228e-07,3,0,0.8632,0.0,0.31459770202636717,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5022,2.285556774950237e-06,0,0,0.8554,0.0,0.3875146389007568,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5022,2.285556774950237e-06,1,0,0.8575,0.0,0.3875146389007568,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5022,2.285556774950237e-06,2,0,0.8551,0.0,0.3875146389007568,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.002,100,0.0313725,5022,2.285556774950237e-06,3,0,0.8551,0.0,0.3875146389007568,0.031372517347335815
