model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,3741,0.0018197661265730858,0,1,0.8532,0.0,0.2955293536186218,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,3741,0.0018197661265730858,1,1,0.8421,0.0,0.2955293536186218,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,3741,0.0018197661265730858,2,1,0.8656,0.0,0.2955293536186218,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,3741,0.0018197661265730858,3,1,0.8525,0.0,0.2955293536186218,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,3741,0.0018197661265730858,4,0,0.8492,0.0,0.2955293536186218,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,6857,0.005850564688444138,0,0,0.8608,0.0,0.2537471652030945,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,6857,0.005850564688444138,1,1,0.8384,0.0,0.2537471652030945,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,6857,0.005850564688444138,2,1,0.8485,0.0,0.2537471652030945,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,6857,0.005850564688444138,3,1,0.8502,0.0,0.2537471652030945,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,6857,0.005850564688444138,4,1,0.8603,0.0,0.2537471652030945,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,8252,1.6308389376717969e-06,0,1,0.8562,0.0,0.2537485361099243,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,8252,1.6308389376717969e-06,1,1,0.8658,0.0,0.2537485361099243,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,8252,1.6308389376717969e-06,2,1,0.8443,0.0,0.2537485361099243,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,8252,1.6308389376717969e-06,3,1,0.8476,0.0,0.2537485361099243,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,8252,1.6308389376717969e-06,4,1,0.8531,0.0,0.2537485361099243,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,1126,5.603228032668994e-07,0,0,0.8626,0.0,0.44985692501068114,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,1126,5.603228032668994e-07,1,0,0.8624,0.0,0.44985692501068114,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,1126,5.603228032668994e-07,2,0,0.8588,0.0,0.44985692501068114,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,1126,5.603228032668994e-07,3,0,0.8563,0.0,0.44985692501068114,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,1126,5.603228032668994e-07,4,0,0.8679,0.0,0.44985692501068114,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,3522,3.5360318406674196e-07,0,1,0.853,0.0,0.26233891248703,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,3522,3.5360318406674196e-07,1,1,0.8497,0.0,0.26233891248703,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,3522,3.5360318406674196e-07,2,1,0.8593,0.0,0.26233891248703,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,3522,3.5360318406674196e-07,3,1,0.8581,0.0,0.26233891248703,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.005,250,0.0313725,3522,3.5360318406674196e-07,4,1,0.8517,0.0,0.26233891248703,0.031372517347335815
