model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,0,1,0.856,0.0,0.2939119338989258,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,1,0,0.8278,0.0,0.2939119338989258,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,2,1,0.8597,0.0,0.2939119338989258,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,3,1,0.854,0.0,0.2939119338989258,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,4,1,0.8407,0.0,0.2939119338989258,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,5,0,0.8482,0.0,0.2939119338989258,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,0,1,0.855,0.0,0.25728904008865355,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,1,1,0.8541,0.0,0.25728904008865355,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,2,1,0.8563,0.0,0.25728904008865355,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,3,1,0.8667,0.0,0.25728904008865355,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,4,1,0.8614,0.0,0.25728904008865355,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,5,1,0.8426,0.0,0.25728904008865355,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,0,1,0.8601,0.0,0.2692181706428528,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,1,1,0.845,0.0,0.2692181706428528,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,2,1,0.839,0.0,0.2692181706428528,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,3,1,0.8566,0.0,0.2692181706428528,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,4,1,0.8549,0.0,0.2692181706428528,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,5,1,0.8602,0.0,0.2692181706428528,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,9870,1.5767482182127424e-06,0,1,0.853,0.0,0.2599198579788208,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,9870,1.5767482182127424e-06,1,1,0.846,0.0,0.2599198579788208,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,9870,1.5767482182127424e-06,2,1,0.8487,0.0,0.2599198579788208,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,9870,1.5767482182127424e-06,3,0,0.8458,0.0,0.2599198579788208,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,9870,1.5767482182127424e-06,4,1,0.8647,0.0,0.2599198579788208,0.031372517347335815
VGG13BN,sapa,random,dog-bird,42,0.01,500,0.0313725,9870,1.5767482182127424e-06,5,1,0.8557,0.0,0.2599198579788208,0.031372517347335815
