model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,2783,6.941690662642941e-05,0,0,0.8362,0.0,0.2591228008270264,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,2783,6.941690662642941e-05,1,1,0.8673,0.0,0.2591228008270264,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,2783,6.941690662642941e-05,2,1,0.8624,0.0,0.2591228008270264,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,2783,6.941690662642941e-05,3,1,0.8542,0.0,0.2591228008270264,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,2783,6.941690662642941e-05,4,1,0.8504,0.0,0.2591228008270264,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,2783,6.941690662642941e-05,5,1,0.8585,0.0,0.2591228008270264,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,2507,6.642824155278504e-05,0,1,0.8593,0.0,0.3316880464553833,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,2507,6.642824155278504e-05,1,0,0.8423,0.0,0.3316880464553833,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,2507,6.642824155278504e-05,2,0,0.8382,0.0,0.3316880464553833,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,2507,6.642824155278504e-05,3,0,0.8587,0.0,0.3316880464553833,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,2507,6.642824155278504e-05,4,0,0.8598,0.0,0.3316880464553833,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,2507,6.642824155278504e-05,5,1,0.8641,0.0,0.3316880464553833,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,6738,5.809226058772765e-05,0,0,0.8584,0.0,0.4484556198120117,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,6738,5.809226058772765e-05,1,0,0.833,0.0,0.4484556198120117,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,6738,5.809226058772765e-05,2,0,0.8603,0.0,0.4484556198120117,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,6738,5.809226058772765e-05,3,0,0.8526,0.0,0.4484556198120117,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,6738,5.809226058772765e-05,4,0,0.8588,0.0,0.4484556198120117,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,6738,5.809226058772765e-05,5,0,0.8572,0.0,0.4484556198120117,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,5787,5.791999137727544e-05,0,1,0.8586,0.0,0.3083800673484802,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,5787,5.791999137727544e-05,1,1,0.8564,0.0,0.3083800673484802,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,5787,5.791999137727544e-05,2,1,0.8476,0.0,0.3083800673484802,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,5787,5.791999137727544e-05,3,1,0.8505,0.0,0.3083800673484802,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,5787,5.791999137727544e-05,4,0,0.8455,0.0,0.3083800673484802,0.031372517347335815
VGG13BN,sapa,random,frog-airplane,42,0.02,1000,0.0313725,5787,5.791999137727544e-05,5,1,0.8336,0.0,0.3083800673484802,0.031372517347335815
