index	file	K	budget	attack	selector	victim	method	run_name	estimate	walltime	command
1	cross_001_k3_fc_b0_005_sconvnet_aresnet20_dpp.sh	3	0.005	fc	ConvNetBN	ResNet20BN	dpp	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchConvNetBN_K3_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=ConvNetBN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
2	cross_002_k3_fc_b0_005_svgg13_aconvnet_dpp.sh	3	0.005	fc	VGG13BN	ConvNetBN	dpp	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchVGG13BN_K3_ce5_tgt50	0-01:00:00	0-01:45:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ConvNetBN SELECTOR_MODELS=VGG13BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
3	cross_003_k3_fc_b0_005_svgg13_aresnet20_dpp.sh	3	0.005	fc	VGG13BN	ResNet20BN	dpp	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchVGG13BN_K3_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=3 BUDGET=0.005 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=VGG13BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
4	cross_004_k1_gradmatch_b0_005_sconvnet_aresnet20_dpp.sh	1	0.005	gradmatch	ConvNetBN	ResNet20BN	dpp	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchConvNetBN_K1_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ConvNetBN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
5	cross_005_k1_gradmatch_b0_005_svgg13_aresnet20_dpp.sh	1	0.005	gradmatch	VGG13BN	ResNet20BN	dpp	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_seldpp2_selarchVGG13BN_K1_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=VGG13BN SELECTIONS=dpp RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
6	cross_006_k1_fc_b0_002_sconvnet_aconvnet_random.sh	1	0.002	fc	ConvNetBN	ConvNetBN	random	CIFAR10_ConvNetBN_fc_random_dog-bird_b0.002_eps8_seed42_K1_ce5_tgt50	0-01:00:00	0-01:45:00	SEL_K=1 BUDGET=0.002 ATTACKS=fc MODELS=ConvNetBN SELECTOR_MODELS=ConvNetBN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
7	cross_007_k1_fc_b0_002_sconvnet_aresnet20_random.sh	1	0.002	fc	ConvNetBN	ResNet20BN	random	CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_selarchConvNetBN_K1_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=1 BUDGET=0.002 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=ConvNetBN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
8	cross_008_k1_fc_b0_002_sconvnet_avgg13_random.sh	1	0.002	fc	ConvNetBN	VGG13BN	random	CIFAR10_VGG13BN_fc_random_dog-bird_b0.002_eps8_seed42_selarchConvNetBN_K1_ce5_tgt3	0-01:15:00	0-02:00:00	SEL_K=1 BUDGET=0.002 ATTACKS=fc MODELS=VGG13BN SELECTOR_MODELS=ConvNetBN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
9	cross_009_k1_fc_b0_002_sresnet20_aconvnet_random.sh	1	0.002	fc	ResNet20BN	ConvNetBN	random	CIFAR10_ConvNetBN_fc_random_dog-bird_b0.002_eps8_seed42_selarchResNet20BN_K1_ce5_tgt50	0-01:00:00	0-01:45:00	SEL_K=1 BUDGET=0.002 ATTACKS=fc MODELS=ConvNetBN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
10	cross_010_k1_fc_b0_002_sresnet20_aresnet20_random.sh	1	0.002	fc	ResNet20BN	ResNet20BN	random	CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_K1_ce5_tgt10	0-01:30:00	0-02:15:00	SEL_K=1 BUDGET=0.002 ATTACKS=fc MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
