model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.006856465712189674,0,1,0.804,0.0,0.14143839478492737,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.006856465712189674,1,0,0.766,0.0,0.14143839478492737,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.006856465712189674,2,0,0.8021,0.0,0.14143839478492737,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.006856465712189674,3,0,0.7961,0.0,0.14143839478492737,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.006856465712189674,4,1,0.8013,0.0,0.14143839478492737,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.006856465712189674,5,1,0.8085,0.0,0.14143839478492737,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,6.312249922757474e-08,0,0,0.8105,0.0,0.10471613705158234,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,6.312249922757474e-08,1,0,0.8053,0.0,0.10471613705158234,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,6.312249922757474e-08,2,1,0.7948,0.0,0.10471613705158234,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,6.312249922757474e-08,3,0,0.7972,0.0,0.10471613705158234,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,6.312249922757474e-08,4,0,0.7861,0.0,0.10471613705158234,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,6.312249922757474e-08,5,1,0.805,0.0,0.10471613705158234,0.031372517347335815
