model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.006856465712189674,0,1,0.8071,0.0,0.1487705111503601,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.006856465712189674,1,0,0.7698,0.0,0.1487705111503601,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.006856465712189674,2,0,0.8077,0.0,0.1487705111503601,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.006856465712189674,3,0,0.7977,0.0,0.1487705111503601,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.006856465712189674,4,0,0.8056,0.0,0.1487705111503601,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,2540,0.006856465712189674,5,1,0.809,0.0,0.1487705111503601,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,6.312249922757474e-08,0,1,0.807,0.0,0.11316849291324615,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,6.312249922757474e-08,1,1,0.805,0.0,0.11316849291324615,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,6.312249922757474e-08,2,1,0.7997,0.0,0.11316849291324615,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,6.312249922757474e-08,3,0,0.8019,0.0,0.11316849291324615,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,6.312249922757474e-08,4,0,0.7914,0.0,0.11316849291324615,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,8129,6.312249922757474e-08,5,0,0.8087,0.0,0.11316849291324615,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,6.26832985517467e-09,0,0,0.802,0.0,0.1901141256093979,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,6.26832985517467e-09,1,1,0.8008,0.0,0.1901141256093979,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,6.26832985517467e-09,2,1,0.7942,0.0,0.1901141256093979,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,6.26832985517467e-09,3,0,0.7969,0.0,0.1901141256093979,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,6.26832985517467e-09,4,0,0.8072,0.0,0.1901141256093979,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,3725,6.26832985517467e-09,5,1,0.8039,0.0,0.1901141256093979,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5705,8.412800525547937e-06,0,0,0.8019,0.0,0.0852234959602356,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5705,8.412800525547937e-06,1,0,0.8153,0.0,0.0852234959602356,0.031372517347335815
ConvNetBN,fc,ours,dog-bird,42,0.001,50,0.0313725,5705,8.412800525547937e-06,2,0,0.7898,0.0,0.0852234959602356,0.031372517347335815
