model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,843,5.336149300205761e-09,0,1,0.8346,0.0,0.2841049134731293,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,843,5.336149300205761e-09,1,0,0.8426,0.0,0.2841049134731293,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,843,5.336149300205761e-09,2,0,0.8351,0.0,0.2841049134731293,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,843,5.336149300205761e-09,3,0,0.8371,0.0,0.2841049134731293,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,843,5.336149300205761e-09,4,0,0.8368,0.0,0.2841049134731293,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,843,5.336149300205761e-09,5,0,0.8366,0.0,0.2841049134731293,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1257,1.2220179534949693e-08,0,0,0.8361,0.0,0.23822402954101562,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1257,1.2220179534949693e-08,1,0,0.841,0.0,0.23822402954101562,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1257,1.2220179534949693e-08,2,0,0.8413,0.0,0.23822402954101562,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1257,1.2220179534949693e-08,3,0,0.8399,0.0,0.23822402954101562,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1257,1.2220179534949693e-08,4,0,0.8275,0.0,0.23822402954101562,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,1257,1.2220179534949693e-08,5,0,0.8376,0.0,0.23822402954101562,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8252,0.07864783704280853,0,1,0.8404,16.666666666666668,0.22792863845825195,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.002,100,0.0313725,8252,0.07864783704280853,1,1,0.8346,16.666666666666668,0.22792863845825195,0.031372517347335815
