model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,843,6.9974284144791454e-09,0,0,0.8478,0.0,0.2724635899066925,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,843,6.9974284144791454e-09,1,0,0.8619,0.0,0.2724635899066925,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,843,6.9974284144791454e-09,2,1,0.8526,0.0,0.2724635899066925,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,843,6.9974284144791454e-09,3,0,0.8561,0.0,0.2724635899066925,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,843,6.9974284144791454e-09,4,1,0.8561,0.0,0.2724635899066925,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,843,6.9974284144791454e-09,5,0,0.856,0.0,0.2724635899066925,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1257,6.4340906734405845e-12,0,1,0.8571,0.0,0.22818027436733246,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1257,6.4340906734405845e-12,1,0,0.8394,0.0,0.22818027436733246,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1257,6.4340906734405845e-12,2,1,0.8538,0.0,0.22818027436733246,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1257,6.4340906734405845e-12,3,0,0.8571,0.0,0.22818027436733246,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1257,6.4340906734405845e-12,4,0,0.8634,0.0,0.22818027436733246,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,1257,6.4340906734405845e-12,5,0,0.8647,0.0,0.22818027436733246,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,1.7063312043319456e-05,0,1,0.8575,0.0,0.20790289342403412,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,1.7063312043319456e-05,1,1,0.8542,0.0,0.20790289342403412,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,1.7063312043319456e-05,2,1,0.8517,0.0,0.20790289342403412,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,1.7063312043319456e-05,3,1,0.8556,0.0,0.20790289342403412,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,1.7063312043319456e-05,4,1,0.8568,0.0,0.20790289342403412,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8252,1.7063312043319456e-05,5,1,0.8416,0.0,0.20790289342403412,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8730,8.228038836932683e-07,0,0,0.8652,0.0,0.22874653339385986,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8730,8.228038836932683e-07,1,0,0.8643,0.0,0.22874653339385986,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8730,8.228038836932683e-07,2,0,0.8624,0.0,0.22874653339385986,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8730,8.228038836932683e-07,3,0,0.869,0.0,0.22874653339385986,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8730,8.228038836932683e-07,4,1,0.8601,0.0,0.22874653339385986,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8730,8.228038836932683e-07,5,0,0.8622,0.0,0.22874653339385986,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8055,2.0147382026602934e-11,0,0,0.8626,0.0,0.2618793547153473,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8055,2.0147382026602934e-11,1,0,0.8526,0.0,0.2618793547153473,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8055,2.0147382026602934e-11,2,0,0.8547,0.0,0.2618793547153473,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8055,2.0147382026602934e-11,3,0,0.8454,0.0,0.2618793547153473,0.031372517347335815
VGG13BN,sapa,ours,dog-bird,42,0.005,250,0.0313725,8055,2.0147382026602934e-11,4,1,0.8576,0.0,0.2618793547153473,0.031372517347335815
