model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,630,1.0829847951754346e-06,0,1,0.8353,0.0,0.2945687651634216,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,630,1.0829847951754346e-06,1,1,0.8419,0.0,0.2945687651634216,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,630,1.0829847951754346e-06,2,0,0.8422,0.0,0.2945687651634216,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,630,1.0829847951754346e-06,3,0,0.8391,0.0,0.2945687651634216,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,630,1.0829847951754346e-06,4,1,0.8347,0.0,0.2945687651634216,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,630,1.0829847951754346e-06,5,0,0.833,0.0,0.2945687651634216,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,409,4.0372367948293686e-05,0,1,0.8408,0.0,0.24847415685653687,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,409,4.0372367948293686e-05,1,1,0.8336,0.0,0.24847415685653687,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,409,4.0372367948293686e-05,2,1,0.8347,0.0,0.24847415685653687,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,409,4.0372367948293686e-05,3,1,0.8406,0.0,0.24847415685653687,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,409,4.0372367948293686e-05,4,0,0.8383,0.0,0.24847415685653687,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,409,4.0372367948293686e-05,5,1,0.8364,0.0,0.24847415685653687,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,2270,0.00018248401465825737,0,1,0.8389,0.0,0.2656856179237366,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,2270,0.00018248401465825737,1,1,0.8362,0.0,0.2656856179237366,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,2270,0.00018248401465825737,2,1,0.8359,0.0,0.2656856179237366,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,2270,0.00018248401465825737,3,1,0.8275,0.0,0.2656856179237366,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,2270,0.00018248401465825737,4,1,0.8407,0.0,0.2656856179237366,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,2270,0.00018248401465825737,5,0,0.8417,0.0,0.2656856179237366,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,9870,0.0002610542578622699,0,1,0.8412,0.0,0.24380950927734374,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,9870,0.0002610542578622699,1,1,0.8323,0.0,0.24380950927734374,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,9870,0.0002610542578622699,2,0,0.8384,0.0,0.24380950927734374,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,9870,0.0002610542578622699,3,1,0.8359,0.0,0.24380950927734374,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,9870,0.0002610542578622699,4,0,0.8379,0.0,0.24380950927734374,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,9870,0.0002610542578622699,5,1,0.8325,0.0,0.24380950927734374,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1656,7.938126145745628e-06,0,1,0.8388,0.0,0.2500322937965393,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1656,7.938126145745628e-06,1,1,0.8408,0.0,0.2500322937965393,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1656,7.938126145745628e-06,2,1,0.8402,0.0,0.2500322937965393,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1656,7.938126145745628e-06,3,1,0.8406,0.0,0.2500322937965393,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1656,7.938126145745628e-06,4,1,0.8431,0.0,0.2500322937965393,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,1656,7.938126145745628e-06,5,1,0.8378,0.0,0.2500322937965393,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5022,0.0025861957110464573,0,0,0.8353,0.0,0.2818142890930176,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5022,0.0025861957110464573,1,0,0.8365,0.0,0.2818142890930176,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5022,0.0025861957110464573,2,0,0.8414,0.0,0.2818142890930176,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5022,0.0025861957110464573,3,0,0.8381,0.0,0.2818142890930176,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5022,0.0025861957110464573,4,0,0.8404,0.0,0.2818142890930176,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,5022,0.0025861957110464573,5,0,0.8439,0.0,0.2818142890930176,0.031372517347335815
ResNet20BN,gradmatch,ours,dog-bird,42,0.005,250,0.0313725,9090,2.647659584908979e-06,0,1,0.8396,0.0,0.24156248569488525,0.031372517347335815
